0;Question type;Question;Correct answer;Wrong Answer1;Wrong Answer2;Wrong Answer3
1;TrueOrFalse;David Tennant is an actor;True;False;#NoAnswerHere;#NoAnswerHere
2;MultipChoice;Nikola Tesla is a(n);scientist;car brand;singer;Polish prince;
3;DrinkOrDoIt;Do a handstand for 20 seconds!;#NoAnswerHere;#NoAnswerHere;#NoAnswerHere;#NoAnswerHere
4;MultipChoice;The Eiffel Tower is located where in Paris?;Champ de Mars;Jardin des Plantes;Parc de Belleville;Bois de Boulogne
5;TrueOrFalse;As far as has ever been reported, no-one has ever seen an ostrich bury its head in the sand.;True;False;#NoAnswerHere;#NoAnswerHere
6;DrinkOrDoIt;Sing 'Bad Romance' from Lady Gaga for 20 seconds;#NoAnswerHere;#NoAnswerHere;#NoAnswerHere;#NoAnswerHere
7;MultipChoice;Who starred in the 1959 epic film 'Ben-Hur'?;Charlton Heston;Clark Gable;Errol Flynn;Lee Marvin
8;MultipChoice;The British Naval Ensign features a Union Jack in which corner?;Top left;Top right;Bottom left;Bottom right
9;TrueOrFalse;In ancient Rome, a special room called a vomitorium was available for diners to purge food in during meals.;False;True;#NoAnswerHere;#NoAnswerHere
10;TrueOrFalse;The average person will shed 10 pounds of skin during their lifetime.;False;True;#NoAnsweHere;#NoAnswerHere
11;DrinkOrDoItQuest;If you speak you have to drink one for @4@ turns!;#NoAnswerHere;#NoAnswerHere;#NoAnswerHere;#NoAnswerHere
12;DrinkOrDoItQuest;Choose one player, and if he/she speaks everyone has to drink for @2@ turns!;#NoAnswerHere;#NoAnswerHere;#NoAnswerHere;#NoAnswerHere
13;TrueOrFalse;The fastest time to eat 15 Ferrero Rocher is 1 minute 10 seconds.;False;True;#NoAnswerHere;#NoAnswerHere
14;MultipChoice;Which castle was the childhood home of Elizabeth Bowes-Lyon, the late Queen Mother?;Glamis Castle;Craigievar Castle;Invergarry Castle;Loch Leven Castle
15;MultipChoice;Which winged archer is represented in Piccadilly Circus, London?;Anteros;Eros;Cupid;Amor
16;TrueOrFalse;A man from the USA consumed his 26,000th Big Mac on 11th October 2012, after eating at least one a day for forty years.;True;False;#NoAnswerHere;#NoAnswerHere
17;DrinkOrDoIt;Kiss any of the Players;#NoAnswerHere;#NoAnswerHere;#NoAnswerHere;#NoAnswerHere
18;DrinkOrDoIt;Pick a Player who will tell you, who you have to kiss;#NoAnswerHere;#NoAnswerHere;#NoAnswerHere;#NoAnswerHere
19;MultipChoice;In which country is HP Sauce now manufactured?;Netherlands;Ireland;England;Scotland
20;MultipChoice;Airfix released its first aircraft kit in 1955 - a model of the Supermarine Spitfire - in what scale?;1:72;1:48;1:24;1:12
21;TrueOrFalse;The record for most needles inserted into the head is 1,500.;False;True;#NoAnswerHere;#NoAnswerHere
23;TrueOrFalse;Alliumphobia is a fear of garlic.;True;False;#NoAnswerHere;#NoAnswerHere
24;MultipChoice;How many legs are visible on the Isle Of Man flag?;3;2;4;5
25;TrueOrFalse;Alfred Hitchcock had no belly button as it was removed during surgery.;True;False;#NoAnswerHere;#NoAnswerHere
26;TrueOrFalse;Geri Halliwell named her daughter ‘Greenbell Madonna’.;False;True;#NoAnswerHere;#NoAnswerHere
27;TrueOrFalse;‘Fauntleroy’ is the middle name of Donald Duck.;True;False;#NoAnswerHere;#NoAnswerHere
28;MultipChoice;Which of these Scottish cities is the most northerly?;Inverness;Aberdeen;Dundee;Stirling
